Player_ID,Player,Team,DblDbl,TplDbl,FortyPts,TwentyReb,TwentyAst,FiveStl,FiveBlk,HighGame,Techs,HOB,AstTO,StlTO,FTFGA,Ws,Ls,WinPct,OWS,DWS,WS,Type
2219,Craig Brackins,PHI,0,0,0,0,0,0,0,10,0,.034,2.2,0.2,0.0,12,5,.706,-0.3,0.2,-0.1,Career Misc
937,Jared Reiner,-,0,0,0,0,0,0,0,8,0,.023,0.6,0.3,0.2,16,30,.348,-0.7,0.5,-0.1,Career Misc
1263,Jimmy King,TOR,0,0,0,0,0,0,0,14,0,.085,1.5,0.4,0.3,14,50,.219,-0.1,-0.0,-0.1,Career Misc
51319,Jeff Taylor,-,0,0,0,0,0,0,0,12,0,.047,1.7,0.6,0.3,18,37,.327,-0.6,0.6,-0.1,Career Misc
116,Cheickh Samb,-,0,0,0,0,0,0,0,6,0,.013,0.2,1.0,0.2,10,12,.455,-0.3,0.2,-0.1,Career Misc
142,Mile Ilic,BRK,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,0.0,3,2,.600,-0.2,0.0,-0.2,Career Misc
51603,Jeff Cross,LAC,0,0,0,0,0,0,0,7,0,.008,0.1,0.3,1.0,8,13,.381,-0.2,0.0,-0.2,Career Misc
107965,Jarrett Culver *,MIN,0,0,0,0,0,0,0,26,1,.133,1.4,0.7,0.2,19,44,.302,-1.2,1.0,-0.2,Career Misc
49642,Bruce Douglas,SAC,0,0,0,0,0,0,0,6,0,.078,1.9,1.0,0.2,2,6,.250,-0.3,0.2,-0.2,Career Misc
4511,Xavier Silas,-,0,0,0,0,0,0,0,6,0,.052,1.0,0.3,0.2,2,2,.500,-0.2,0.0,-0.2,Career Misc
1167,Steve Goodrich,CHI,0,0,0,0,0,0,0,4,0,.027,1.0,0.3,0.3,10,11,.476,-0.3,0.1,-0.2,Career Misc
500,Tamar Slay,-,0,0,0,0,0,0,0,14,0,.044,0.8,0.7,0.1,41,25,.621,-1.1,0.9,-0.2,Career Misc
27710,Damien Inglis,MIL,0,0,0,0,0,0,0,10,0,.030,0.9,0.5,0.2,5,15,.250,-0.3,0.1,-0.2,Career Misc
24387,Tornike Shengelia,-,1,0,0,0,0,0,0,11,0,.025,0.7,0.3,0.5,25,20,.556,-0.3,0.2,-0.2,Career Misc
6520,Andy Rautins,NYK,0,0,0,0,0,0,0,3,0,.031,0.4,0.1,0.3,2,3,.400,-0.2,0.0,-0.2,Career Misc
2376,Tyler Honeycutt,SAC,0,0,0,0,0,0,0,7,0,.022,1.3,0.6,0.2,8,16,.333,-0.2,0.0,-0.2,Career Misc
44721,Charles Cooke,NOP,0,0,0,0,0,0,0,4,0,.005,1.0,1.0,0.1,8,5,.615,-0.2,0.0,-0.2,Career Misc
24284,Michael Frazier *,HOU,0,0,0,0,0,0,0,6,0,.018,0.4,0.4,0.5,7,6,.538,-0.3,0.1,-0.2,Career Misc
1946,Sherron Collins,CHA,0,0,0,0,0,0,0,5,0,.021,2.0,0.5,0.0,8,12,.400,-0.2,0.0,-0.2,Career Misc
49384,Todd Mitchell,-,0,0,0,0,0,0,0,15,0,.068,0.6,0.5,0.7,2,22,.083,-0.4,0.2,-0.2,Career Misc
2412,Drew Gordon,PHI,0,0,0,0,0,0,0,4,0,.034,0.2,0.1,0.1,0,9,.000,-0.2,0.0,-0.2,Career Misc
1098,Ernest Brown,MIA,0,0,0,0,0,0,0,3,0,.011,0.0,0.0,0.7,0,3,.000,-0.2,0.0,-0.2,Career Misc
51315,Nick Vanos,PHX,3,0,0,0,0,0,0,14,0,.050,0.9,0.3,0.4,31,37,.456,-1.0,0.8,-0.2,Career Misc
51574,Devin Durrant,-,0,0,0,0,0,0,0,17,0,.057,1.0,0.3,0.4,13,50,.206,-0.8,0.6,-0.2,Career Misc
92196,Ignas Brazdeikis *,NYK,0,0,0,0,0,0,0,6,0,.032,2.0,0.0,0.2,1,8,.111,-0.1,-0.0,-0.2,Career Misc
58196,Joe Chealey,CHA,0,0,0,0,0,0,0,2,0,.017,1.0,2.0,0.2,1,4,.200,-0.2,0.0,-0.2,Career Misc
7107,Doron Lamb,-,0,0,0,0,0,0,0,16,0,.054,1.4,0.5,0.2,29,71,.290,-0.3,0.1,-0.2,Career Misc
1345,J.R. Henderson,MEM,0,0,0,0,0,0,0,10,0,.059,1.2,0.5,0.5,4,26,.133,-0.2,-0.0,-0.2,Career Misc
912,Blake Ahearn,-,0,0,0,0,0,0,0,15,0,.072,1.0,0.3,0.4,6,13,.316,-0.3,0.1,-0.2,Career Misc
1591,Nate Driggers,BOS,0,0,0,0,0,0,0,8,0,.034,1.0,0.5,0.3,3,12,.200,-0.2,-0.0,-0.2,Career Misc
81056,Wade Baldwin IV,-,0,0,0,0,0,0,0,15,0,.066,1.4,0.4,0.3,32,24,.571,-0.9,0.8,-0.2,Career Misc
1278,Ike Fontaine,LAL,0,0,0,0,0,0,0,8,0,.033,1.0,0.0,0.4,2,4,.333,-0.2,-0.0,-0.2,Career Misc
73139,Deng Adel,CLE,0,0,0,0,0,0,0,6,0,.022,0.8,0.2,0.1,4,15,.211,-0.2,0.0,-0.2,Career Misc
1328,A.J. Bramlett,CLE,0,0,0,0,0,0,0,2,0,.014,0.0,0.3,0.0,3,5,.375,-0.2,0.0,-0.2,Career Misc
872,DeMarcus Nelson,GSW,0,0,0,0,0,0,0,9,0,.077,0.9,0.6,0.3,3,10,.231,-0.3,0.2,-0.2,Career Misc
2200,Peyton Siva,DET,0,0,0,0,0,0,0,12,0,.057,1.9,0.5,0.3,9,15,.375,-0.2,0.0,-0.2,Career Misc
2382,Lorenzo Brown,-,0,0,0,0,0,0,0,13,1,.077,2.5,0.8,0.1,38,65,.369,-1.1,0.9,-0.2,Career Misc
679,Paul Shirley,-,0,0,0,0,0,0,0,6,0,.032,0.7,0.1,0.2,9,9,.500,-0.2,0.0,-0.2,Career Misc
50738,Jamie Waller,BRK,0,0,0,0,0,0,0,10,0,.054,0.3,0.4,0.5,1,8,.111,-0.2,0.0,-0.2,Career Misc
57247,James Webb III,BRK,0,0,0,0,0,0,0,6,0,.026,1.0,0.2,0.0,1,9,.100,-0.2,-0.0,-0.2,Career Misc
43276,Sedric Toney,-,0,0,0,0,0,0,0,22,0,.083,2.1,0.4,0.3,42,70,.375,-0.6,0.4,-0.2,Career Misc
1349,Lou Roe,-,0,0,0,0,0,0,0,14,0,.030,0.8,0.5,0.4,29,37,.439,-0.6,0.4,-0.2,Career Misc
45384,Charles Thomas,DET,0,0,0,0,0,0,0,11,0,.028,1.3,0.2,0.3,16,20,.444,-0.3,0.1,-0.2,Career Misc
435,Dajuan Wagner,-,1,0,0,0,0,0,0,33,0,.150,1.4,0.5,0.2,38,65,.369,-0.9,0.7,-0.2,Career Misc
1554,Donnie Boyce,ATL,0,0,0,0,0,0,0,8,0,.042,0.7,0.6,0.3,22,8,.733,-0.6,0.4,-0.2,Career Misc
50950,Kevin Henderson,-,0,0,0,0,0,0,0,14,0,.064,1.6,0.4,0.5,8,14,.364,-0.3,0.1,-0.2,Career Misc
26506,Paul Zipser,CHI,0,0,0,0,0,0,0,21,0,.066,1.0,0.4,0.1,38,60,.388,-1.6,1.4,-0.2,Career Misc
1194,Mike Smith,WAS,0,0,0,0,0,0,0,11,0,.049,1.4,0.7,0.3,5,12,.294,-0.1,-0.1,-0.2,Career Misc
15,D.J. Strawberry,PHX,0,0,0,0,0,0,0,9,0,.042,2.7,1.1,0.2,23,10,.697,-0.4,0.2,-0.2,Career Misc
51064,Forrest McKenzie,SAS,0,0,0,0,0,0,0,8,0,.033,0.3,0.3,0.1,1,5,.167,-0.2,0.0,-0.2,Career Misc
863,Will Solomon,-,1,0,0,0,0,0,0,23,1,.109,1.9,0.5,0.2,31,84,.270,-0.8,0.6,-0.2,Career Misc
81697,Cam Reddish *,ATL,0,0,0,0,0,1,0,28,1,.127,0.9,0.6,0.2,17,41,.293,-1.1,0.9,-0.2,Career Misc
456,Troy Bell,MEM,0,0,0,0,0,0,0,5,0,.037,0.7,0.2,0.2,5,1,.833,-0.2,0.0,-0.2,Career Misc
64866,Carl Nicks,-,0,0,0,0,0,0,0,24,0,.050,1.1,0.6,0.3,47,108,.303,-0.8,0.6,-0.2,Career Misc
65573,Alonzo Bradley,HOU,0,0,0,0,0,0,0,20,0,.035,0.9,0.3,0.2,44,55,.444,-0.3,0.1,-0.2,Career Misc
65330,Andre Wakefield,-,0,0,0,0,0,0,0,17,0,.013,0.9,0.2,0.4,24,52,.316,-0.2,0.0,-0.2,Career Misc
64702,Mickey Dillard,CLE,0,0,0,0,0,0,0,8,0,.019,2.0,0.5,0.3,6,26,.188,-0.3,0.0,-0.2,Career Misc
65965,Johnny Neumann,-,0,0,0,0,0,0,0,24,0,.035,1.2,0.3,0.2,50,33,.602,-1.4,1.1,-0.2,Career Misc
65181,Sylvester Norris,SAS,0,0,0,0,0,0,0,8,0,.006,0.3,0.2,0.1,10,7,.588,-0.4,0.1,-0.2,Career Misc
65328,Ralph Drollinger,DAL,0,0,0,0,0,0,0,8,0,.007,1.1,0.1,0.3,1,5,.167,-0.2,0.1,-0.2,Career Misc
65509,Scott Sims,SAS,0,0,0,0,0,0,0,11,0,.008,1.1,0.2,0.6,7,5,.583,-0.2,0.1,-0.2,Career Misc
65324,Bubba Wilson,GSW,0,0,0,0,0,0,0,4,0,.005,1.5,0.2,0.2,6,9,.400,-0.2,0.0,-0.2,Career Misc
65949,George Karl,SAS,0,0,0,0,0,0,0,9,0,.021,1.2,0.2,0.6,19,14,.576,-0.4,0.1,-0.2,Career Misc
65206,Tony Zeno,IND,0,0,0,0,0,0,0,4,0,.002,0.1,0.4,0.1,3,5,.375,-0.3,0.1,-0.2,Career Misc
67081,Wally Anderzunas,SAC,0,0,0,0,0,0,0,13,0,.020,0.0,0.0,0.3,14,29,.326,-0.4,0.3,-0.2,Career Misc
65772,Chuckie Williams,CLE,0,0,0,0,0,0,0,6,0,.006,0.0,0.0,0.3,13,9,.591,-0.2,0.0,-0.2,Career Misc
70691,Jim Walsh,GSW,0,0,0,0,0,0,0,7,0,.005,0.0,0.0,0.6,3,7,.300,-0.2,0.1,-0.2,Career Misc
65764,Marshall Rogers,GSW,0,0,0,0,0,0,0,10,0,.014,0.0,0.0,0.1,14,12,.538,-0.3,0.1,-0.2,Career Misc
70252,Bill Ebben,DET,0,0,0,0,0,0,0,5,0,.004,0.0,0.0,0.1,2,7,.222,-0.3,0.0,-0.2,Career Misc
66006,Darrell Elston,IND,0,0,0,0,0,0,0,5,0,.001,0.0,0.0,0.1,1,4,.200,-0.2,0.0,-0.2,Career Misc
66552,Mike Ratliff,SAC,0,0,0,0,0,0,0,20,0,.019,0.0,0.0,0.4,26,34,.433,-0.3,0.1,-0.2,Career Misc
66008,Marv Roberts,LAL,0,0,0,0,0,0,0,12,0,.013,0.0,0.0,0.1,17,10,.630,-0.3,0.1,-0.2,Career Misc
66536,Mark Sibley,POR,0,0,0,0,0,0,0,8,0,.009,0.0,0.0,0.1,6,21,.222,-0.2,0.0,-0.2,Career Misc
67343,Thales McReynolds,WAS,0,0,0,0,0,0,0,2,0,.001,0.0,0.0,0.2,2,3,.400,-0.2,0.0,-0.2,Career Misc
69354,Ron Horn,-,0,0,0,0,0,0,0,7,0,.005,0.0,0.0,0.3,17,12,.586,-0.5,0.3,-0.2,Career Misc
67291,Wayne Molis,NYK,0,0,0,0,0,0,0,13,0,.006,0.0,0.0,0.3,5,8,.385,-0.2,0.0,-0.2,Career Misc
66018,Henry Dickerson,-,0,0,0,0,0,0,0,11,0,.005,0.0,0.0,0.6,9,14,.391,-0.2,0.0,-0.2,Career Misc
66986,Bernie Williams,HOU,0,0,0,0,0,0,0,34,0,.086,0.0,0.0,0.2,47,81,.367,-2.8,2.6,-0.2,Career Misc
70547,Ralph Wells,WAS,0,0,0,0,0,0,0,2,0,.002,0.0,0.0,1.0,0,3,.000,-0.2,0.0,-0.2,Career Misc
66068,Ken Mayfield,NYK,0,0,0,0,0,0,0,8,0,.006,0.0,0.0,0.1,4,9,.308,-0.2,0.0,-0.2,Career Misc
66791,Barry Yates,PHI,0,0,0,0,0,0,0,9,0,.011,0.0,0.0,0.1,4,20,.167,-0.4,0.1,-0.2,Career Misc
66284,Jim Creighton,ATL,0,0,0,0,0,0,0,5,0,.005,0.0,0.0,0.4,13,19,.406,-0.4,0.1,-0.2,Career Misc
66785,Harvey Marlatt,DET,0,0,0,0,0,0,0,13,0,.017,0.0,0.0,0.3,23,37,.383,-0.4,0.3,-0.2,Career Misc
69236,Bill Smith,NYK,0,0,0,0,0,0,0,15,0,.004,0.0,0.0,0.2,3,7,.300,-0.2,0.1,-0.2,Career Misc
69597,Tony Windis,DET,0,0,0,0,0,0,0,9,0,.015,0.0,0.0,0.1,4,5,.444,-0.4,0.2,-0.2,Career Misc
65694,Keith Starr,CHI,0,0,0,0,0,0,0,4,0,.004,0.0,0.0,0.1,6,11,.353,-0.2,0.0,-0.2,Career Misc
66368,Bill Ligon,DET,0,0,0,0,0,0,0,15,0,.024,0.0,0.0,0.2,16,21,.432,-0.4,0.1,-0.2,Career Misc
66547,Larry Cannon,PHI,0,0,0,0,0,0,0,17,0,.030,0.0,0.0,0.2,5,14,.263,-0.3,0.1,-0.2,Career Misc
69772,Wayne Stevens,SAC,0,0,0,0,0,0,0,5,0,.002,0.0,0.0,0.5,1,6,.143,-0.2,0.0,-0.2,Career Misc
66801,Sid Catlett,SAC,0,0,0,0,0,0,0,3,0,.001,0.0,0.0,1.0,2,7,.222,-0.2,0.0,-0.2,Career Misc
99878,Mike Novak,-,0,0,0,0,0,0,0,14,0,.044,0.0,0.0,0.3,71,47,.602,-0.2,0.0,-0.2,Career Misc
70590,Jim Ray,PHI,0,0,0,0,0,0,0,5,0,.001,0.0,0.0,0.3,6,4,.600,-0.2,0.0,-0.2,Career Misc
66380,Steve Downing,BOS,0,0,0,0,0,0,0,4,0,.004,0.0,0.0,0.6,17,9,.654,-0.4,0.2,-0.2,Career Misc
65258,Chubby Cox,WAS,0,0,0,0,0,0,0,10,0,.006,0.7,0.0,0.2,0,7,.000,-0.3,0.1,-0.2,Career Misc
65522,Dennis Boyd,DET,0,0,0,0,0,0,0,2,0,.003,1.2,0.0,0.0,1,4,.200,-0.2,0.0,-0.2,Career Misc
33432,Zhou Qi,HOU,0,0,0,0,0,0,0,6,0,.012,0.2,0.2,0.4,14,5,.737,-0.5,0.3,-0.2,Career Misc
22406,Russ Smith,-,0,0,0,0,0,0,0,16,0,.036,1.0,0.4,0.6,13,14,.481,-0.3,0.1,-0.2,Career Misc
3745,Glen Rice,WAS,0,0,0,0,0,0,0,8,0,.040,0.8,0.5,0.2,6,10,.375,-0.4,0.2,-0.2,Career Misc
56796,Devon Hall,OKC,0,0,0,0,0,0,0,12,0,.046,2.6,0.8,0.3,6,5,.545,-0.3,0.1,-0.2,Career Misc
51009,Brad Wright,-,0,0,0,0,0,0,0,13,0,.034,0.1,0.2,0.5,5,11,.312,-0.3,0.1,-0.2,Career Misc
9264,Darington Hobson,MIL,0,0,0,0,0,0,0,4,0,.048,3.0,0.0,0.0,1,4,.200,-0.2,-0.0,-0.2,Career Misc
1063,Kirk Penney,-,0,0,0,0,0,0,0,3,0,.021,0.4,0.2,0.0,1,5,.167,-0.2,0.0,-0.2,Career Misc
1287,Jamal Robinson,MIA,0,0,0,0,0,0,0,2,0,.027,0.7,2.0,0.0,2,4,.333,-0.4,0.2,-0.2,Career Misc
49404,Ronnie Murphy,POR,0,0,0,0,0,0,0,11,0,.025,0.8,0.6,0.2,13,5,.722,-0.3,0.1,-0.2,Career Misc
80552,Gabe Vincent *,MIA,0,0,0,0,0,0,0,9,0,.039,6.0,5.0,0.0,5,4,.556,-0.3,0.1,-0.2,Career Misc
50729,Tony White,-,0,0,0,0,0,0,0,24,0,.082,1.3,0.4,0.2,15,34,.306,-0.4,0.2,-0.2,Career Misc
1430,God Shammgod,WAS,0,0,0,0,0,0,0,12,0,.075,1.7,0.3,0.5,8,12,.400,-0.3,0.1,-0.2,Career Misc
6156,Darius Johnson-Odom,-,0,0,0,0,0,0,0,0,0,.008,1.0,0.5,0.2,4,3,.571,-0.3,0.1,-0.2,Career Misc
24146,Quincy Miller,-,1,0,0,0,0,0,0,19,0,.054,0.7,0.6,0.2,29,40,.420,-0.9,0.7,-0.2,Career Misc
1574,Alphonso Ford,-,0,0,0,0,0,0,0,8,0,.063,1.1,0.3,0.1,7,4,.636,-0.4,0.1,-0.2,Career Misc
466,Maciej Lampe,-,0,0,0,0,0,0,0,17,0,.051,0.6,0.2,0.2,22,42,.344,-0.7,0.4,-0.2,Career Misc
45376,Demetrius Calip,LAL,0,0,0,0,0,0,0,3,0,.058,2.4,0.2,0.2,2,5,.286,-0.2,-0.0,-0.2,Career Misc
50433,Raymond Brown,UTA,0,0,0,0,0,0,0,6,0,.018,0.7,0.0,0.1,12,4,.750,-0.3,0.0,-0.2,Career Misc
32613,John Turner,HOU,0,0,0,0,0,0,0,15,0,.033,0.4,0.2,0.6,19,23,.452,-0.4,0.2,-0.2,Career Misc
1313,Fred Vinson,SEA,0,0,0,0,0,0,0,7,0,.014,0.2,0.5,0.1,7,6,.538,-0.3,0.1,-0.2,Career Misc
49374,David Rivers,-,1,0,0,0,0,1,0,15,0,.087,1.7,0.4,0.4,65,49,.570,-1.4,1.2,-0.2,Career Misc
1516,Tim Breaux,HOU,1,0,0,0,0,0,0,17,0,.039,0.9,0.5,0.3,61,41,.598,-0.7,0.5,-0.2,Career Misc
1550,Terrence Rencher,MIA,0,0,0,0,0,0,0,8,0,.073,1.3,0.4,0.5,15,21,.417,-0.8,0.6,-0.2,Career Misc
50692,Dominic Pressley,-,0,0,0,0,0,0,0,5,0,.068,2.4,0.4,0.3,3,10,.231,-0.3,0.1,-0.2,Career Misc
50304,Steve Bucknall,LAL,0,0,0,0,0,0,0,4,0,.024,0.9,0.2,0.2,17,1,.944,-0.3,0.1,-0.2,Career Misc
50695,Ron Cavenall,-,0,0,0,0,0,0,0,7,0,.014,0.4,0.3,0.5,20,38,.345,-1.0,0.7,-0.2,Career Misc
44646,Thomas Jordan,PHI,0,0,0,0,0,0,0,18,0,.141,0.2,0.2,0.4,1,3,.250,-0.4,0.1,-0.2,Career Misc
1534,Kevin Salvadori,SAC,0,0,0,0,0,0,0,9,0,.017,0.8,0.1,0.5,19,20,.487,-0.4,0.2,-0.2,Career Misc
3373,Rolando Ferreira,POR,0,0,0,0,0,0,0,2,0,.004,0.2,0.0,0.4,7,5,.583,-0.3,0.1,-0.2,Career Misc
1475,Chris Robinson,-,0,0,0,0,0,0,0,22,0,.090,1.6,0.7,0.1,10,66,.132,-0.6,0.3,-0.2,Career Misc
49393,Rob Lock,LAC,0,0,0,0,0,0,0,6,0,.016,0.3,0.2,0.5,1,19,.050,-0.3,0.1,-0.2,Career Misc
74,Quincy Douby,-,0,0,0,0,0,0,0,32,0,.060,1.1,0.6,0.2,53,90,.371,-0.8,0.6,-0.2,Career Misc
482,Andreas Glyniadakis,OKC,0,0,0,0,0,0,0,8,0,.019,0.1,0.0,0.1,3,10,.231,-0.2,-0.0,-0.2,Career Misc
24320,Deonte Burton *,OKC,0,0,0,0,0,0,0,18,0,.035,0.9,0.5,0.1,43,28,.606,-1.0,0.8,-0.2,Career Misc
1408,Jeff Sanders,CHI,0,0,0,0,0,0,0,9,0,.032,0.8,0.6,0.2,25,30,.455,-0.5,0.3,-0.2,Career Misc
3104,Zarko Paspalj,SAS,0,0,0,0,0,0,0,13,0,.032,0.5,0.1,0.3,20,8,.714,-0.5,0.2,-0.2,Career Misc
1089,Kevin Burleson,CHA,0,0,0,0,0,0,0,11,0,.051,1.9,1.0,0.2,12,27,.308,-0.7,0.4,-0.2,Career Misc
809,Sonny Weems,-,1,0,0,0,0,0,0,25,1,.110,1.3,0.4,0.2,63,120,.344,-0.5,0.3,-0.2,Career Misc
32649,Steve Bardo,-,0,0,0,0,0,0,0,8,0,.059,2.0,0.5,0.3,6,27,.182,-0.5,0.2,-0.3,Career Misc
635,Randolph Childress,POR,0,0,0,0,0,0,0,18,0,.045,1.1,0.4,0.3,28,23,.549,-0.7,0.4,-0.3,Career Misc
1083,Cedric Bozeman,ATL,0,0,0,0,0,0,0,5,0,.025,1.0,0.6,0.2,9,14,.391,-0.4,0.2,-0.3,Career Misc
24744,Patricio Garino,ORL,0,0,0,0,0,0,0,0,0,.000,0.0,0.0,0.0,2,3,.400,-0.2,-0.0,-0.3,Career Misc
24696,Andrew White,ATL,0,0,0,0,0,0,0,15,0,.055,0.8,0.4,0.1,1,14,.067,-0.3,0.0,-0.3,Career Misc
26072,Dairis Bertans,NOP,0,0,0,0,0,0,0,6,0,.041,5.0,0.5,0.0,3,9,.250,-0.2,-0.1,-0.3,Career Misc
24250,Rodney Purvis,ORL,0,0,0,0,0,0,0,19,0,.089,1.7,0.3,0.1,5,11,.312,-0.5,0.2,-0.3,Career Misc
698,Dean Oliver,GSW,0,0,0,0,0,0,0,15,0,.053,2.1,0.5,0.2,9,26,.257,-0.2,-0.0,-0.3,Career Misc
1068,Jamel Thomas,-,0,0,0,0,0,0,0,9,0,.047,0.5,0.4,0.0,2,10,.167,-0.3,0.1,-0.3,Career Misc
16,Demetris Nichols,-,0,0,0,0,0,0,0,4,0,.017,0.5,0.0,0.1,6,12,.333,-0.3,0.0,-0.3,Career Misc
335,Noel Felix,OKC,0,0,0,0,0,0,0,4,0,.018,0.2,0.2,0.3,7,5,.583,-0.4,0.1,-0.3,Career Misc
2279,Manny Harris,-,2,0,0,0,0,0,0,27,0,.103,1.3,0.5,0.3,15,78,.161,-0.7,0.4,-0.3,Career Misc
